"Id","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","A11","A12","A13","A14","A15"
"529",0,83,20,1,1,1,4,0,0,1,0,2,38,46,"0"
"344",1,238,118,2,11,4,2,1,1,2,0,2,69,94,"1"
"114",0,204,31,2,6,4,20,1,1,5,0,2,1,175,"1"
"259",1,76,26,2,7,4,14,0,0,1,1,1,107,1,"0"
"595",1,277,113,2,9,4,93,0,0,1,0,2,147,66,"0"
"506",1,36,144,2,11,4,26,1,0,1,1,2,18,109,"1"
"71",1,290,214,1,1,1,1,1,0,1,1,2,1,1,"0"
"500",1,47,123,2,8,4,40,1,1,4,0,2,69,170,"1"
"580",1,242,46,2,3,5,1,0,0,1,0,1,102,1,"0"
"316",1,116,18,2,4,1,1,0,0,1,0,2,32,1,"0"
"50",0,308,196,2,8,4,93,1,1,15,0,2,1,188,"1"
"372",1,207,202,2,9,4,3,0,0,1,0,2,107,205,"0"
"404",1,204,64,2,9,4,4,0,1,3,0,2,77,2,"0"
"478",0,51,136,2,8,4,5,0,0,1,0,2,1,102,"0"
"422",1,214,5,1,8,4,37,0,0,1,1,2,84,55,"1"
"250",1,249,47,2,3,5,73,0,0,1,0,2,76,1,"1"
"242",1,200,66,2,4,4,81,1,1,8,0,2,49,165,"1"
"337",0,205,33,2,8,4,47,1,1,12,0,2,1,111,"1"
"578",0,307,123,2,6,8,65,0,0,1,0,2,1,1,"0"
"302",1,42,165,2,8,4,47,0,0,1,1,2,44,1,"0"
"401",0,169,115,2,2,4,31,0,0,1,0,2,95,1,"0"
"220",1,87,30,2,11,4,83,1,1,3,1,2,156,180,"1"
"28",1,181,74,1,8,8,48,1,1,2,1,2,63,235,"1"
"521",1,254,34,2,9,4,85,1,1,7,1,2,152,228,"1"
"431",0,278,26,2,11,8,63,1,1,2,0,2,110,145,"1"
"352",1,122,180,2,6,5,7,0,0,1,1,2,165,1,"0"
"490",1,237,17,2,7,4,7,1,0,1,0,1,99,1,"0"
"174",1,336,183,1,8,8,85,1,0,1,0,2,36,1,"0"
"467",0,340,192,2,1,1,1,1,1,12,1,2,1,171,"1"
"517",0,47,127,2,4,4,37,1,1,2,0,2,53,83,"1"
"370",1,184,70,2,7,4,78,1,1,7,0,2,71,1,"1"
"560",1,281,11,2,8,5,126,1,1,20,0,2,1,233,"1"
"161",1,189,66,2,8,4,26,0,0,1,0,2,146,17,"0"
"212",1,312,17,1,4,8,75,1,0,1,0,2,63,95,"1"
"503",1,281,66,2,7,5,58,1,1,13,1,2,133,195,"1"
"356",1,159,75,2,8,4,58,0,1,3,1,2,53,33,"0"
"531",1,179,66,1,9,4,101,0,0,1,1,2,98,1,"0"
"389",1,97,115,2,8,4,26,1,1,4,0,2,1,1,"1"
"622",0,27,141,2,11,4,30,1,1,5,0,2,18,118,"1"
"292",0,168,76,2,1,1,66,0,1,3,1,2,69,5,"0"
"218",1,207,109,2,3,5,85,0,0,1,0,2,73,129,"0"
"13",1,49,40,1,8,8,34,1,1,4,1,2,45,79,"0"
"139",1,104,17,2,8,4,36,1,1,6,1,2,106,1,"1"
"201",0,46,151,2,8,8,26,1,1,5,0,2,15,174,"1"
"340",1,120,21,2,6,4,12,1,0,1,1,2,69,1,"0"
"572",1,37,126,2,7,4,2,0,1,2,0,2,32,2,"0"
"102",1,226,9,2,4,4,3,1,0,1,1,2,98,1,"1"
"611",1,235,92,2,8,5,99,1,1,17,0,2,37,160,"1"
"558",1,80,46,2,8,8,35,1,0,1,0,2,137,77,"1"
"156",1,35,1,1,7,5,1,0,0,1,1,1,152,2,"1"
"184",1,88,120,1,2,4,93,1,0,1,1,1,32,1,"1"
"498",0,135,34,2,8,4,58,1,1,6,1,2,102,172,"1"
"430",1,209,86,2,9,4,29,1,0,1,1,2,69,1,"0"
"63",1,28,55,2,3,4,37,1,1,3,0,2,38,94,"1"
"317",0,225,102,2,13,4,122,1,0,1,1,2,169,1,"0"
"3",0,142,52,1,4,4,31,0,0,1,1,2,98,1,"0"
"119",1,73,164,2,11,4,58,1,1,8,1,2,32,140,"1"
"186",1,155,66,2,13,8,52,0,0,1,1,1,111,1,"0"
"224",1,142,99,2,7,4,47,0,1,2,1,2,146,43,"0"
"275",1,68,164,2,9,4,47,1,1,2,0,2,24,90,"1"
"463",1,47,36,2,11,4,37,0,0,1,0,2,34,8,"0"
"473",1,79,46,2,11,4,55,1,1,4,1,2,1,122,"1"
"58",0,216,66,2,3,8,6,0,0,1,0,2,92,86,"0"
"87",0,92,189,2,11,8,37,0,0,1,0,2,98,2,"0"
"315",1,62,10,2,2,8,18,1,0,1,1,2,1,1,"1"
"75",1,240,208,2,10,9,131,1,1,12,0,2,1,158,"1"
"509",1,197,66,1,9,4,65,0,0,1,0,1,69,1,"0"
"575",1,165,28,2,14,4,33,1,1,9,1,2,103,203,"1"
"359",1,120,50,2,13,8,87,1,1,10,0,2,130,142,"1"
"25",1,38,146,2,6,4,21,0,0,1,0,2,24,101,"0"
"109",0,295,188,2,4,8,110,1,0,1,1,2,1,1,"1"
"667",1,115,95,1,8,5,58,0,0,1,0,2,69,160,"0"
"512",1,24,156,2,8,8,28,0,0,1,0,2,107,14,"0"
"165",1,258,73,2,3,5,26,1,0,1,0,2,1,77,"0"
"170",1,27,159,1,6,4,4,1,0,1,0,2,38,105,"0"
"365",1,156,48,2,2,4,16,0,0,1,1,1,1,1,"0"
"101",0,230,87,2,8,4,65,0,0,1,0,2,149,1,"0"
"164",1,193,88,1,3,5,110,1,1,8,1,2,68,1,"1"
"353",1,163,87,2,14,4,85,1,1,4,1,2,100,190,"1"
"226",1,136,38,2,4,4,14,1,0,1,0,1,98,1,"0"
"108",1,67,139,2,6,4,3,0,0,1,0,2,1,1,"0"
"559",1,344,139,2,1,1,76,0,1,2,0,2,20,7,"0"
"361",1,342,109,2,10,9,121,1,1,2,1,2,1,1,"1"
"326",1,221,154,2,14,4,58,1,1,7,0,2,156,76,"1"
"341",1,174,73,2,2,4,5,0,0,1,1,2,38,1,"0"
"140",0,274,73,2,8,4,55,1,1,9,1,2,129,208,"1"
"188",1,110,47,2,9,4,4,0,0,1,0,2,32,1,"0"
"210",1,244,17,1,7,4,14,0,0,1,1,2,42,1,"0"
"179",1,246,88,2,13,8,101,1,1,9,0,2,107,1,"1"
"229",1,269,136,2,13,8,124,1,1,2,1,2,26,180,"1"
"251",1,86,139,2,6,4,7,0,0,1,1,2,1,1,"0"
"511",1,57,26,1,12,7,20,0,0,1,1,2,43,3,"0"
"327",1,62,47,2,4,4,3,0,0,1,1,2,116,1,"0"
"539",0,202,175,2,11,8,124,1,1,9,0,2,1,221,"1"
"8",0,330,94,2,11,8,66,1,1,7,0,2,12,120,"1"
"629",0,90,34,1,1,1,14,1,1,4,0,2,63,65,"0"
"651",1,107,33,2,11,4,43,1,0,1,1,2,98,1,"1"
"239",1,203,26,2,4,4,37,0,0,1,1,2,83,1,"0"
"647",0,41,26,2,8,4,22,1,1,6,1,2,45,6,"0"
"556",1,35,87,1,3,4,26,0,0,1,1,2,117,150,"0"
"439",1,149,17,2,8,4,43,1,1,12,0,2,10,118,"1"
"425",1,54,10,1,8,8,7,0,0,1,0,2,98,78,"0"
"258",1,288,92,2,7,4,4,1,0,1,1,2,80,1,"1"
"686",1,163,160,2,14,4,99,1,0,1,0,2,1,1,"1"
"642",0,245,56,1,11,8,4,1,1,21,1,2,145,162,"1"
"348",0,241,128,1,11,8,108,1,1,15,0,2,1,192,"1"
"383",1,268,123,1,8,4,40,0,0,1,0,2,53,3,"0"
"458",0,76,173,2,14,8,14,1,1,3,1,2,102,119,"1"
"314",0,40,9,2,11,8,8,1,1,12,0,2,24,49,"1"
"207",1,50,104,1,5,4,8,0,0,1,0,2,45,74,"0"
"410",1,98,33,2,6,4,14,0,0,1,0,2,69,1,"0"
"684",0,285,42,2,3,7,9,0,0,1,0,2,1,57,"0"
"639",1,115,55,2,2,4,20,0,0,1,1,2,24,1,"0"
"178",0,309,6,2,1,1,1,0,0,1,1,1,19,26,"0"
"675",0,104,17,2,8,8,24,1,0,1,1,2,151,1,"1"
"202",0,61,52,1,5,3,1,0,0,1,0,2,53,1,"0"
"395",0,102,1,2,8,4,1,0,0,1,0,3,65,1,"1"
"513",1,127,73,2,9,4,20,0,0,1,1,2,102,42,"0"
"520",0,121,50,2,1,1,1,0,0,1,0,2,111,2,"0"
"328",0,303,119,2,3,5,67,0,0,1,1,2,21,1,"0"
"45",1,84,14,1,8,4,2,0,1,3,0,2,40,7,"0"
"663",1,238,18,1,6,4,14,1,1,4,0,2,69,150,"1"
"171",0,124,46,2,7,4,47,1,0,1,0,1,118,1,"0"
"393",0,119,40,2,1,1,1,0,1,2,0,2,27,94,"0"
"635",1,29,157,2,1,1,11,0,0,1,0,2,24,1,"0"
"377",1,130,30,2,7,4,25,1,1,4,1,2,129,1,"1"
"605",0,275,16,2,13,8,11,1,1,12,1,2,141,7,"1"
"237",0,88,66,1,3,5,81,0,0,1,0,2,69,111,"0"
"213",1,188,109,1,8,4,37,0,0,1,1,2,18,1,"0"
"54",1,34,52,1,8,4,54,0,0,1,1,2,36,7,"0"
"397",0,70,136,2,11,4,43,1,1,11,0,2,24,149,"0"
"19",1,42,40,1,4,4,4,0,0,1,0,2,45,5,"0"
"295",1,191,73,2,13,8,103,1,0,1,1,2,1,1,"1"
"518",0,55,63,2,3,5,14,1,1,5,0,1,24,1,"1"
"146",0,343,196,2,10,9,1,1,1,15,0,2,1,204,"1"
"310",1,103,78,2,8,8,53,0,1,2,1,2,135,22,"0"
"436",1,7,26,2,8,4,43,1,1,6,1,2,115,130,"1"
"434",1,126,47,2,9,4,74,1,1,6,1,2,32,4,"1"
"671",0,220,109,2,11,4,4,1,0,1,1,2,81,1,"1"
"621",1,117,61,2,3,5,14,0,0,1,1,2,162,206,"0"
"149",1,197,87,2,2,5,119,1,0,1,1,2,65,1,"0"
"105",1,34,1,1,1,1,1,0,1,5,0,2,13,2,"0"
"238",0,345,115,2,1,1,1,0,0,1,0,1,1,1,"0"
"61",1,262,102,2,3,5,52,0,0,1,1,2,46,1,"0"
"471",1,44,141,2,8,4,41,1,1,4,1,2,11,27,"1"
"362",0,32,144,2,9,4,40,1,1,7,1,2,11,125,"1"
"584",1,170,87,2,7,4,58,1,0,1,1,2,117,1,"1"
"151",1,78,1,2,8,4,1,0,0,1,0,3,65,1,"1"
"240",1,287,175,2,7,4,128,1,0,1,0,1,35,1,"1"
"448",1,337,123,2,10,9,1,0,0,1,0,2,1,13,"0"
"453",0,346,1,2,8,4,1,0,0,1,0,3,65,1,"1"
"111",1,222,154,1,4,4,4,0,0,1,0,2,53,1,"0"
"654",1,311,122,2,8,8,61,1,1,12,1,2,1,92,"1"
"447",1,300,2,2,14,8,2,1,0,1,0,2,1,200,"1"
"523",0,133,33,2,11,4,26,1,1,3,1,2,56,115,"0"
"659",0,19,1,1,5,1,1,0,0,1,0,2,25,1,"0"
"296",1,302,73,1,1,1,37,0,0,1,0,2,63,5,"0"
"497",1,104,26,2,8,5,7,1,0,1,0,2,113,24,"1"
"199",0,7,12,2,1,1,1,0,1,2,0,2,53,59,"0"
"308",1,56,160,2,8,4,65,1,0,1,1,2,1,1,"1"
"192",1,139,195,2,6,4,86,1,1,6,1,2,57,1,"1"
"597",1,48,151,1,8,4,58,1,0,1,0,1,11,1,"1"
"625",1,131,102,2,9,4,117,1,0,1,1,2,20,1,"1"
"672",1,72,67,1,8,8,60,1,0,1,0,2,1,1,"1"
"248",1,333,193,2,1,1,130,1,1,16,1,2,1,150,"1"
"510",1,138,82,2,9,4,73,1,1,4,1,2,108,1,"0"
"294",1,63,18,1,14,4,2,1,1,2,1,2,167,40,"1"
"273",1,11,5,2,8,4,5,0,0,1,0,2,43,1,"0"
"528",0,271,33,2,11,4,4,0,0,1,1,2,93,1,"0"
"537",1,186,70,2,3,5,1,0,0,1,0,2,63,1,"0"
"305",0,4,130,2,11,4,4,0,1,2,1,2,1,69,"0"
"641",1,82,70,2,1,1,81,0,0,1,0,2,53,25,"0"
"177",0,322,92,1,1,1,85,0,0,1,1,2,1,5,"0"
"123",0,227,46,2,1,1,1,0,0,1,0,2,23,1,"0"
"145",0,11,40,2,11,4,7,0,1,2,0,2,34,48,"0"
"525",1,62,164,2,14,4,8,1,1,7,0,2,39,1,"1"
"153",1,2,123,2,10,4,26,0,0,1,0,2,161,1,"0"
"638",1,10,89,2,3,8,11,0,0,1,1,2,38,1,"0"
"378",1,163,21,2,4,4,7,0,0,1,0,2,124,181,"0"
"373",1,298,20,2,1,1,1,0,0,1,0,2,48,1,"0"
"7",1,16,119,2,3,4,4,0,0,1,0,2,18,50,"0"
"396",1,163,2,1,2,4,78,0,0,1,1,2,146,1,"0"
"200",1,178,66,2,6,4,43,0,1,3,1,2,165,1,"0"
"325",1,213,93,1,4,4,7,1,1,11,1,2,107,1,"1"
"55",1,123,78,1,11,8,87,0,1,3,1,2,119,2,"0"
"227",1,163,73,1,3,5,101,0,0,1,0,2,1,2,"0"
"313",1,49,107,2,11,4,10,1,1,2,0,2,53,1,"0"
"269",1,199,66,2,3,4,26,0,0,1,1,2,73,1,"0"
"173",1,72,26,2,3,4,39,0,1,2,1,2,131,10,"0"
"351",0,97,72,2,14,8,24,1,0,1,0,2,117,1,"1"
"276",1,188,104,1,3,5,28,0,0,1,1,2,149,1,"0"
"526",1,63,17,2,8,4,4,0,0,1,0,2,117,1,"0"
"267",1,66,176,2,8,4,72,0,1,3,1,2,63,72,"0"
"400",0,141,36,1,14,4,26,0,0,1,0,2,98,14,"0"
"461",1,106,30,2,4,4,10,0,1,3,1,2,60,4,"0"
"148",0,5,72,2,11,4,3,0,0,1,0,2,38,1,"0"
"460",1,77,169,2,3,4,73,1,1,10,0,2,17,134,"1"
"499",0,23,13,3,13,1,115,0,0,1,1,1,102,1,"1"
"194",1,194,1,2,8,4,1,0,0,1,0,3,65,1,"0"
"633",0,132,82,2,9,4,23,1,0,1,0,1,98,1,"1"
"265",1,209,58,1,9,4,3,1,1,2,0,2,15,157,"1"
"416",0,150,109,2,4,4,93,0,0,1,1,1,32,1,"0"
"255",0,243,151,2,11,8,43,1,0,1,0,2,8,143,"1"
"482",1,58,148,2,8,4,7,1,0,1,0,2,45,1,"0"
"334",1,207,15,1,9,4,8,0,0,1,1,2,104,3,"0"
"166",1,25,6,2,2,4,7,0,0,1,1,1,98,1,"0"
"80",0,171,45,2,9,4,28,1,1,17,0,2,38,184,"1"
"602",1,213,78,2,11,8,113,1,0,1,1,2,33,127,"1"
"607",1,231,66,1,3,8,115,0,0,1,1,1,69,1,"0"
"533",1,195,35,2,7,4,29,0,0,1,0,1,7,1,"0"
"32",0,47,160,1,14,8,1,0,0,1,1,2,51,28,"0"
"77",1,102,12,2,4,8,73,0,0,1,1,2,111,1,"0"
"391",1,347,201,2,1,1,1,1,0,1,1,2,1,1,"1"
"175",0,82,139,2,11,4,110,1,1,6,1,2,38,1,"1"
"573",0,247,33,2,3,5,52,1,0,1,1,2,1,94,"1"
"41",1,78,1,2,13,4,3,1,0,1,0,2,1,1,"1"
"553",0,250,34,2,6,4,18,0,0,1,0,2,86,84,"0"
"545",1,220,123,2,11,8,118,1,1,8,1,2,102,6,"0"
"392",1,70,169,1,7,4,37,0,0,1,1,2,1,206,"0"
"116",1,189,3,1,7,5,2,1,1,2,1,2,98,180,"1"
"104",1,125,20,1,13,4,7,1,1,3,0,2,92,115,"1"
"368",1,301,196,2,8,4,110,1,1,10,0,2,1,1,"1"
"33",1,305,43,1,8,8,114,1,0,1,1,2,69,50,"0"
"141",1,40,151,1,4,8,23,1,0,1,1,2,45,1,"0"
"196",1,95,167,2,8,4,58,1,1,18,0,2,69,159,"1"
"487",1,326,124,2,7,4,124,1,1,7,1,2,117,167,"1"
"12",1,248,102,2,11,8,85,1,1,7,1,2,148,1,"1"
"450",0,10,9,2,6,4,4,0,0,1,0,2,69,2,"0"
"90",1,66,20,1,1,1,1,0,0,1,0,2,32,1,"0"
"155",1,307,119,2,4,4,98,1,1,16,0,2,1,231,"1"
"268",1,190,47,2,13,4,38,1,1,2,1,2,156,238,"1"
"446",1,40,13,2,11,4,47,1,1,3,1,2,24,1,"1"
"481",0,95,178,2,13,8,73,1,1,7,0,2,131,112,"1"
"437",1,91,180,2,9,4,24,1,0,1,1,2,92,1,"0"
"586",1,190,140,2,8,4,81,1,1,13,1,2,1,80,"1"
"420",0,173,18,2,13,4,2,1,0,1,0,2,141,230,"1"
"333",1,79,87,2,8,5,7,1,0,1,1,2,53,1,"1"
"387",0,109,55,2,5,3,1,0,0,1,1,2,97,2,"0"
"14",1,198,102,2,14,8,104,1,1,7,1,2,1,150,"1"
"189",0,144,22,2,9,4,7,0,0,1,1,2,102,1,"0"
"26",1,176,46,2,13,8,93,1,1,4,1,2,1,1,"1"
"307",0,39,22,2,9,4,41,0,0,1,0,2,77,6,"0"
"527",1,175,139,1,9,8,90,1,0,1,1,2,51,1,"1"
"608",1,231,49,2,8,4,37,1,1,11,0,2,66,212,"1"
"347",0,147,107,2,10,2,52,1,1,6,1,2,31,115,"1"
"301",1,229,102,2,13,4,73,1,1,11,1,2,1,1,"1"
"36",1,348,204,1,1,1,2,0,1,3,0,2,1,102,"0"
"330",1,306,46,2,2,4,74,0,0,1,1,2,1,101,"0"
"137",1,39,20,2,1,1,1,0,1,4,0,2,114,137,"0"
"291",1,173,127,2,10,5,39,1,0,1,1,1,136,1,"0"
"382",1,13,79,2,3,4,9,0,0,1,1,2,45,3,"0"
"505",1,1,87,1,9,4,43,1,1,3,1,2,38,150,"1"
"411",1,174,59,1,4,1,1,0,0,1,0,2,38,1,"0"
"100",0,47,29,2,11,4,39,1,1,2,0,2,1,1,"1"
"530",0,21,18,2,8,4,43,0,1,2,1,2,24,6,"0"
"593",1,206,67,2,1,1,1,0,0,1,0,2,1,150,"0"
"103",1,124,190,2,9,4,95,1,0,1,1,2,150,115,"1"
"59",1,257,101,1,9,4,69,1,0,1,1,2,16,173,"1"
"204",0,99,57,2,8,8,63,1,0,1,1,2,117,2,"0"
"124",0,323,205,2,8,4,93,1,1,8,0,2,1,200,"1"
"136",0,223,93,2,8,4,4,0,0,1,0,2,53,1,"0"
"311",1,53,153,1,10,8,31,0,0,1,0,2,92,1,"0"
"133",1,91,187,1,1,1,1,0,0,1,0,2,65,1,"0"
"180",1,255,103,2,11,8,120,1,0,1,1,2,27,1,"1"
"88",0,276,185,2,3,5,89,1,1,10,1,2,1,1,"1"
"441",1,251,32,2,14,4,58,1,0,1,0,2,153,125,"1"
"557",0,90,64,1,8,4,1,0,0,1,0,2,38,1,"0"
"152",1,270,46,2,8,4,58,1,0,1,1,2,45,1,"0"
"616",1,56,127,2,6,4,35,1,1,2,0,2,24,227,"1"
"445",1,43,10,2,11,4,4,0,0,1,0,2,69,1,"0"
"79",1,77,1,2,4,4,26,0,1,12,0,1,1,1,"0"
"657",1,181,77,1,14,4,69,1,1,4,1,2,124,1,"1"
"418",1,78,166,2,14,8,13,1,1,2,0,2,32,1,"1"
"386",1,137,196,2,8,8,91,1,1,12,0,2,1,191,"1"
"288",1,247,1,2,8,5,126,1,0,1,0,2,1,1,"1"
"125",0,160,85,2,13,8,17,1,1,10,1,2,64,1,"1"
"421",1,85,46,2,2,8,45,1,1,7,0,2,69,98,"1"
"408",0,182,73,1,6,4,47,0,0,1,0,2,63,1,"0"
"23",1,246,42,2,2,4,5,0,0,1,0,2,57,1,"0"
"162",0,180,49,2,2,4,15,0,0,1,1,2,1,1,"0"
"457",1,267,17,2,3,8,85,1,0,1,1,2,107,1,"1"
"15",1,329,69,2,8,4,56,0,0,1,1,2,107,1,"0"
"670",1,19,94,2,8,4,7,0,0,1,0,1,24,1,"0"
"160",1,283,91,2,14,5,3,0,0,1,1,2,156,1,"0"
"590",1,145,56,1,14,8,2,0,0,1,0,2,40,2,"0"
"73",1,140,40,2,9,4,43,0,0,1,0,2,69,1,"0"
"615",1,252,15,2,8,8,6,1,1,7,0,2,77,147,"1"
"455",0,70,164,1,11,4,65,1,0,1,1,2,94,1,"0"
"484",0,98,187,1,1,1,47,0,1,2,1,2,69,2,"0"
"613",1,109,10,2,3,5,1,1,0,1,1,2,1,1,"1"
"70",1,120,48,2,13,8,44,1,1,13,1,2,160,131,"1"
"287",1,341,164,2,10,9,131,1,1,8,1,2,5,1,"1"
"232",1,126,46,2,9,4,52,0,1,2,1,2,32,4,"0"
"343",0,71,162,2,11,4,11,1,1,6,1,2,1,120,"1"
